OrgFrstDriver,DesFrstDriver
865785,1254475
814841,550409
1356440,1343326
226845,226837
697861,1287654
641926,1373128
510344,1071773
434855,412811
430015,466263
617260,1415207
769141,393459
872679,1262708
275948,261226
666542,647294
1343091,1310420
1461678,298767
1235940,1487400
1294042,1377352
1412056,1481603
70326,1337947
478349,1402417
175485,871273
850117,1473636
181201,535016
610285,907095
1290548,654324
1492848,1279602
1417293,512871
1352865,593863
375123,930866
811837,1429912
532449,1393612
741582,877613
602021,1232460
299257,308398
746020,1387780
703686,1301621
1275175,298545
1410266,407009
48219,1416669
1377240,310882
851995,973983
808352,1284679
462669,1472869
412170,1452035
906038,809797
867591,742776
69004,636345
1401008,1484877
1280680,411523
95571,766308
283890,1280019
223516,220447
768671,319915
1324981,1401718
836366,1309497
705135,347313
1498515,1286638
888336,57445
531895,535810
1303828,1301138
249000,481039
527237,1483270
322318,771158
1476869,1242822
1437957,562226
128100,775141
655169,650058
612664,667310
592692,1302222
1300778,1358904
1408435,1473640
1428645,1257992
209447,1233406
289775,283252
1440125,1289653
792403,1398715
445820,454372
1485629,493554
855181,1396310
1447110,1430874
719723,981302
801054,286473
599842,599864
1252219,1456925
1422727,1281517
770605,614666
1430930,1424592
668906,1104656
1351184,211902
347934,1384105
59502,49859
1375589,311769
473297,825929
885137,815110
915089,884114
193791,173084
119125,607687
276223,291559
1496598,562452
448953,829660
394834,969282
1339732,686583
1341365,417829
103834,110291
819938,160953
1393700,1444131
43069,1401503
429356,409776
758867,716720
283475,297115
1408848,770223
779452,1449931
238992,694817
153817,151204
108281,88026
1367435,248755
1498501,1352343
679179,342108
1072277,253212
556011,1469911
224761,175400
1285747,83263
1314641,730194
492538,1256755
860248,1264444
64698,1346912
1287231,219141
137434,22432
158146,1258948
347416,31759
143672,662908
1070504,609745
423342,422587
1351009,26920
1393898,322481
812438,1357661
656673,643796
1498394,854859
577052,258018
1337611,1354266
811053,839673
124650,124654
1422531,1502877
645374,655320
1496740,532274
557555,689151
1422531,1288473
911447,290860
211931,896656
1382292,1345576
33841,757398
635821,624604
1162769,77761
109971,1231030
341531,339700
1334275,323491
480369,487907
40856,25242
1244213,67191
1414765,1413107
243227,1456293
176784,145975
521682,1458262
93309,803166
874947,113353
18024,19243
106950,107956
666428,1282112
595104,1420016
592844,730040
1454241,1250256
158474,681752
561684,573197
691213,492538
620105,602419
532449,536535
527381,233432
799418,795566
256890,1352272
780174,718791
832835,878372
30207,781143
560346,1390661
435935,422715
887267,1249416
234526,821687
1455802,1425610
1272701,820217
1439836,1486386
156686,152391
1330251,1072208
623933,622160
653361,1435983
1500489,1380550
154971,1471571
885114,380896
327656,802797
717407,702271
328893,1258424
772705,495792
1403659,244981
408784,423548
59985,1407552
304260,293394
1374215,330871
476500,878399
89153,92163
139566,137011
686867,682746
785043,493111
1396623,1417058
519907,705991
913404,878602
918039,858645
465412,1408591
143206,1320878
172083,173062
116695,709929
1324376,600144
68777,1358816
1272551,118995
157595,603230
788203,694322
706871,786431
1224262,732014
537008,527243
913155,357198
723560,836169
819668,1394603
974280,204093
1407558,1264227
1287009,118687
128768,1482464
1363159,601117
746623,164942
367689,371051
1467421,189529
209454,596915
727700,1470868
635378,909005
971313,1416690
1451719,141493
1307417,1329902
1351672,1458090
318416,315943
307914,1485721
1377199,1287614
297634,1330471
974809,77071
1404299,17625
1489046,1490133
1491339,1257692
1431055,1323561
494689,499046
656367,657285
431635,742878
1242676,391837
653420,660745
677839,688434
211918,1357071
657138,1296737
909859,746216
847925,331932
314372,771358
729524,730516
685998,1400473
363351,351044
1391346,1495294
529353,1340453
71850,453484
1253852,1273293
71602,1323227
1472406,587444
913409,543165
369395,671268
653657,1247409
51315,64103
210464,365038
49358,48566
559204,559298
1225987,823861
534801,704238
532343,440884
1427241,718255
631787,537159
1489627,713382
1322241,54399
587124,1243843
186202,184163
1472410,966823
905395,112674
1248927,501202
1323827,1392688
541371,1244219
1355103,1388830
1331625,40311
580567,424132
1432737,915788
780912,302603
627287,875237
321583,331619
213062,706767
1262509,364589
753296,36627
148549,1482674
1264334,742964
608289,331704
1388378,881188
1364049,1377033
238282,1455822
1340043,355147
613586,877035
126413,1311528
414951,408300
356146,366508
575021,958924
495461,498747
346774,1335793
877104,109777
135817,144495
542381,1262971
619328,596366
98898,109020
1416662,112966
1348956,666553
1474567,717976
486329,1450018
78505,1476243
297494,297367
128018,114901
1470801,540923
158667,130260
116769,138372
1470932,1334466
761711,873784
27183,1336077
1318655,972530
535350,228041
1313663,396050
99503,129605
579353,7716
1387580,173817
266643,1377565
336332,328216
1475032,1474489
532802,532793
1495737,409569
927838,1182489
722128,1311273
556997,657655
666240,708249
1389863,738802
757284,429087
229305,1407553
35873,820771
373571,1398870
1413749,1341880
1490563,583875
98633,107856
1267008,1298004
461202,854307
1443756,10652
232520,248693
154590,132286
586834,1352364
398683,1334920
332922,851415
64317,56285
295164,1450576
277182,278395
425028,464761
1352675,240712
776261,320650
1474497,1462617
1272450,615142
453589,1470750
113575,1475296
86847,1370960
1356311,1278199
487068,175111
324252,313852
732571,1242979
54934,46989
600348,912105
1376187,383871
1293166,609645
296491,879069
1477779,1444268
17661,1375815
1396711,1358180
1352906,585898
52513,1251031
1489441,1477501
884603,1296601
615904,1476920
31782,855594
1405303,407589
1495629,459660
247902,229756
1385184,888110
708743,1335560
230596,883442
1358871,645494
69326,70379
87339,1413698
729468,877613
1350765,498429
538756,1480414
973983,1291558
1268561,885038
848574,757537
1256567,1246401
329965,1428439
882938,1390664
1415969,1432150
294173,299024
1300849,625328
1292464,6699
72192,1385309
45354,683996
532775,1248751
176332,1407980
1413294,886524
1422319,527708
569251,584734
847594,1285104
365555,367548
1287396,236949
1333937,763313
533890,528784
814696,76466
1445430,974083
351513,979127
570291,35248
617180,651271
1249957,857057
71518,681672
1414061,165616
841909,744623
1268440,24769
1290715,1442053
1470473,332735
631737,603649
879638,736831
686872,1411204
1454748,425182
1399049,1351276
1457932,1438702
633945,743132
1345610,1349888
1292265,617379
771443,790796
89190,1257619
273462,274453
1399531,123610
1485834,1466825
781171,1347693
26117,463230
343739,734348
1301392,1445711
744192,1468167
1254532,1403796
1292787,601913
1360438,608037
657731,139657
884727,1496454
282468,272905
848081,288613
277565,373658
639209,166739
631107,1363570
1497015,1486025
438590,456974
1318057,363139
907511,460884
569139,563767
974366,1247468
1359628,870266
307706,337013
324687,324557
307971,1423315
1469556,17274
337909,843786
1339249,359565
862392,230665
1500267,122622
1431310,202972
5770,499820
1240459,73554
328357,312187
1315487,289265
507353,506331
800346,1493854
1224856,1349283
938041,1495139
45677,844583
93706,1276897
764252,604293
757398,194397
710478,1263740
247902,1250840
1403161,1357041
673978,679206
809893,641666
1372652,349375
784199,1303956
428122,448454
527201,498851
559678,593200
1279216,1423111
58231,1418828
870790,1396454
1480254,1385404
200969,189040
764968,229891
569078,543437
106111,65268
1370654,446869
558692,1485899
1230174,590707
1244777,1274352
1245221,373087
1239777,123194
1324471,1329647
1076380,1448349
462640,1377052
1325515,176594
328314,1419064
1496634,855723
1358287,1354567
342620,341202
1338318,635329
1392728,826354
308065,319120
757152,1179692
808398,840179
749362,276931
175559,154410
20,33879
196619,536282
201246,223211
1439455,820835
759754,1487400
43979,830593
88582,95699
1396582,8301
281400,585285
232184,159405
1308959,821828
912918,637928
1410523,518311
605214,598343
429661,438502
1425434,1396049
719980,708652
451281,1344491
1436095,95619
505797,1402164
1326081,392284
644636,1360564
456916,454026
617287,621569
234526,1069193
1274739,541768
1276079,1278736
1323188,464964
500816,505804
124599,128398
360539,1476869
548702,531141
499942,477631
106059,1235277
325157,1457749
1458160,650189
1420016,1312087
1298150,797465
1450688,52967
763313,584801
1414133,331334
599042,579952
441721,1377015
243160,258205
310935,803598
732319,719723
741293,741290
1246568,822297
1407470,561746
665610,1473496
1291261,851900
1440505,706574
1401765,410559
581712,1348679
733316,971932
417750,1230799
278941,293183
1456373,1254183
237009,1477885
225144,1260354
542955,531647
1475069,1366406
42977,1285129
441529,431967
719132,345913
1329222,1455922
264806,268022
876970,311769
221819,1416873
623281,595388
625328,1244185
1357753,1378422
242473,242515
1347224,688552
810215,421983
436415,220911
1349575,1275441
1380170,1354232
1269881,233809
1361676,586785
790835,170111
1357394,347205
330311,331163
1278941,731943
1336844,697888
888428,1319159
476888,1409875
1342592,644080
1326774,83665
451624,458030
521682,530329
434504,1496785
941512,919565
917966,1229494
105251,100642
745328,1229905
874775,365249
45919,47358
1368477,1453251
911480,1300104
31289,31678
625741,1249892
1373054,1281745
774530,471720
379273,378482
652209,1422531
656673,652281
1275948,66803
106768,1367571
225275,1463668
1432033,776227
691603,691586
1369192,68398
1460664,166867
1488639,1280256
772101,1397491
559206,547990
662638,541457
1233367,40674
552312,95772
520145,512845
407695,1277867
351511,1179654
1328370,1395613
588148,555237
1071015,649500
1332134,876076
111009,752681
1287112,1345999
436135,428950
568095,858817
1238364,646690
1301486,1299785
1397125,399892
627156,255041
1465452,1327561
64304,715583
332201,327987
232585,1340607
810913,1245805
691264,539874
387198,1310096
286254,734472
731341,722902
772506,1344409
326385,1458819
862157,1417290
739181,282965
368977,205814
678289,61380
629932,202927
1463119,336433
194726,909236
1440556,1336592
560766,934081
1279041,579952
1400857,831367
537744,329834
263808,831525
912085,312545
783067,1378103
761580,428060
588422,487930
1339056,881797
85353,69737
1446525,1481995
449030,449838
43017,855001
1245086,151775
573236,560952
1310284,1306063
775714,85486
603845,622289
1276549,1438503
216133,238939
827537,1411121
1310590,865828
602504,730997
1279577,668608
693818,165930
1491215,513025
124600,34241
1264137,40361
786882,1489195
70143,1291287
187377,1333676
1441809,191060
50449,54509
941791,56365
788115,1347672
1394245,221862
293183,553075
1339092,356457
1371992,880006
67057,796026
360653,1422618
121251,100482
800373,1248513
213165,212142
15754,556722
621920,594166
433461,1321977
218008,241108
523366,515988
1267830,204872
795299,720603
600191,330736
901361,197586
33901,39578
121179,1397779
622150,1379957
832725,477032
631358,303493
1419170,368001
368167,1243457
1431833,299856
328325,327315
875001,508393
796455,7856
419617,431678
916270,124128
638292,173353
264624,968906
1474163,426869
402381,407450
446317,1298493
1358794,938041
43309,736164
1435934,1396582
308100,794729
84412,1435531
780918,336237
1488237,263781
1304332,552803
511845,671993
507283,1334756
81237,70747
348606,1382798
670337,1415510
4840,857175
350517,342737
697143,23144
1361030,1071332
859944,1448592
39266,763322
1236346,327229
193099,190079
166506,193942
341282,1364379
775956,99117
229114,18214
209321,377761
296802,820321
421159,882938
364205,850448
1398750,906490
1281515,781140
357092,375999
666982,679219
1437073,786602
1375787,910745
601306,761523
1425222,1464590
353297,331710
1314678,1423403
158572,1485175
75441,102773
228939,240072
63629,1379827
1378097,873950
419266,1070818
1412975,302091
457804,466797
181307,619910
1447267,90345
567168,1473474
370232,375361
1244883,477621
1389377,1387266
550832,1252226
1288781,655233
294782,527212
655794,1334417
754254,813736
333503,328953
545127,548466
874375,819315
1435648,1432408
565950,567100
809369,593528
1243457,874109
15035,1440891
407577,888859
162050,1265245
1371687,1309376
61299,124254
657740,690283
20721,1266942
616559,806606
76707,69406
1479303,888097
157163,146298
1281515,1297030
412683,1494037
185701,813111
1376431,1244689
515777,512991
133159,1325940
611460,610491
79384,718080
7782,772451
1417504,1480530
875459,521384
440674,425024
1235317,1370474
303569,303557
569213,674073
1298428,1351820
1266775,1266754
818692,100994
756680,1332858
909804,655394
206317,1312185
158694,1424423
34769,1484946
187199,1290434
66011,794523
36191,1367340
1426408,92052
730511,1321973
391492,365989
21764,26944
1457591,1457600
185258,188341
132430,814593
565328,1499948
243583,183463
1278736,716284
1316959,156771
871547,821930
692243,259693
76835,755754
686871,1464743
4806,519502
384797,1382658
569902,569890
771291,140644
417355,395006
756697,14957
786362,308205
182385,1398398
188760,1475442
1288703,613211
742105,792980
783422,269355
1282039,1283054
1445642,1272460
298304,849542
1332121,1338680
86588,64741
795284,1406784
1419791,298405
50920,50900
76176,122754
555959,551835
352050,1432682
1417490,670038
362212,386288
105766,99479
546801,1236515
786358,458587
682859,686871
527697,843195
354874,354875
63394,32697
409927,852822
1350148,119983
880073,201378
665035,667130
749638,1445711
710653,710684
909837,1425232
1415525,1501771
1481448,582259
604638,159440
1415666,1496931
1379794,714763
831541,289205
163523,1069423
807207,146109
267822,940570
618811,1409138
23994,44301
781709,15326
835742,487778
6675,1480085
1405359,1408600
851404,347838
627031,1384114
655894,1358713
1467082,1234307
27836,918575
615932,637122
6893,502479
877482,1237242
1424423,147394
251996,322057
1408610,855952
1317418,1269936
1494737,557865
1233714,615879
1415938,113505
154397,146334
1414764,1262068
1341261,418836
1324778,102542
333593,663806
915246,1469772
883835,244076
80413,1306059
1489428,1380579
36454,61298
162239,166892
1236777,1248223
733422,162693
60547,84326
782305,613441
107505,645913
245219,879696
1258850,1431325
188760,1406808
269890,268930
347313,1300849
301668,302327
498269,1261550
296756,1304842
421115,772580
517543,1326891
812734,1412608
9491,95736
168692,168658
478283,482592
574170,1394755
443479,1392436
1230376,787085
728004,1320197
1299285,1388650
398883,423241
626195,1346125
534455,861122
293460,720801
1436552,656296
1360020,1348637
1502187,1355708
717002,830814
1299243,753058
1291007,916376
738410,730324
797438,542334
633235,1336869
47689,60285
1423692,1316998
339108,1436548
753463,719203
5220,826672
353018,352996
689903,773931
862087,719815
705277,32278
360161,1332921
1331123,821542
520519,515168
27630,519397
821538,1215537
1454079,1345468
240266,220056
1326385,1325756
1423174,238911
1319944,66087
293872,1309189
360466,1462144
1377680,913426
1388989,1474821
793082,1501710
1069421,184747
1495190,191660
692219,604781
884283,1455734
1500941,1477310
210169,194520
1346759,1459210
1373750,1435008
308327,1441672
719575,719576
62767,57615
158668,157895
1235869,478714
869292,30849
547363,815142
205124,1367454
787247,26944
646985,1408274
467602,1456427
1268462,32910
255835,1348100
513639,372647
13801,496108
601991,1461389
446440,1455208
881895,1502695
530737,981364
1336460,297987
434913,421864
1295109,1471051
1306322,1326024
469418,824001
763153,566917
1271306,1362135
593878,603816
664240,1284341
276384,265657
288644,299988
23072,181453
697473,59630
1494901,136289
1458120,768722
882308,403614
1395452,415267
483919,1423612
1441902,886356
1289297,196953
309090,966729
830250,270182
696639,888110
40249,1377816
320807,906918
734378,919125
1437193,1496509
574621,435321
1351672,477636
1464715,1339585
1370087,585474
404219,844523
774413,391234
869091,1355531
431006,431005
972360,531578
773908,340508
135559,134612
236410,599382
1244863,507248
561693,569549
716866,1392728
258501,564637
1391147,535795
300931,723418
940228,79384
1317252,545193
739399,717811
91112,845706
733991,710414
187500,529633
1274876,232721
1397125,407414
856557,456227
574509,253139
1235301,209321
841078,1305555
288738,270176
1323706,176432
1472866,806067
1325606,1350120
1301910,969391
1260354,795654
1459750,1381776
80169,67035
152299,1294002
202572,1439881
1263316,1287537
76347,1287224
413849,582536
237205,1466031
886361,38666
1355643,566302
158156,1377554
159036,135164
52079,48679
979122,327240
126586,972473
1263546,353716
1353605,927883
433486,1329737
733424,152030
1355440,824321
701059,752359
1489275,1289413
886709,862769
541257,1423415
804823,69075
1251666,737778
1368096,425977
1268462,41015
604665,773310
1242146,581355
15691,1338349
1287231,949045
1480417,939247
369642,196586
1449014,885516
577166,758854
884125,905346
1253990,1233766
787505,169709
1257592,869887
246201,783798
484168,481175
882717,187499
912386,553224
650114,650127
881710,309096
1347144,714137
687749,743796
1316471,625861
1439859,478556
1422459,640136
848600,480598
811997,715336
420485,1380852
99288,1453960
1370890,38493
60122,870301
462679,461164
1469445,1415702
152988,146613
1298953,1281009
1439669,1249511
586834,758854
1291065,673762
